     i        y          a (AU)     P (y)    Mplan (M_E)     Pcol        Pejc   
   4621   -1.73399       0.18364  2.3728e-01  1.0000e+00  2.8548e-07  0.0000e+00
   4622   -1.73372       0.18369  2.3738e-01  1.0000e+00  2.8536e-07  0.0000e+00
   4623   -1.73345       0.18374  2.3748e-01  1.0000e+00  2.8524e-07  0.0000e+00
   4624   -1.73317       0.18379  2.3757e-01  1.0000e+00  2.8511e-07  0.0000e+00
   4625   -1.73290       0.18384  2.3767e-01  1.0000e+00  2.8499e-07  0.0000e+00
   4626   -1.73263       0.18389  2.3777e-01  1.0000e+00  2.8487e-07  0.0000e+00
   4627   -1.73236       0.18394  2.3787e-01  1.0000e+00  2.8475e-07  0.0000e+00
   4628   -1.73208       0.18399  2.3796e-01  1.0000e+00  2.8463e-07  0.0000e+00
   4629   -1.73181       0.18404  2.3806e-01  1.0000e+00  2.8451e-07  0.0000e+00
   4630   -1.73154       0.18409  2.3816e-01  1.0000e+00  2.8438e-07  0.0000e+00
   4631   -1.73126       0.18414  2.3826e-01  1.0000e+00  2.8426e-07  0.0000e+00
   4632   -1.73099       0.18419  2.3835e-01  1.0000e+00  2.8414e-07  0.0000e+00
   4633   -1.73072       0.18424  2.3845e-01  1.0000e+00  2.8402e-07  0.0000e+00
   4634   -1.73044       0.18429  2.3855e-01  1.0000e+00  2.8390e-07  0.0000e+00
   4635   -1.73017       0.18434  2.3865e-01  1.0000e+00  2.8378e-07  0.0000e+00
   4636   -1.72990       0.18439  2.3874e-01  1.0000e+00  2.8366e-07  0.0000e+00
   4637   -1.72962       0.18444  2.3884e-01  1.0000e+00  2.8354e-07  0.0000e+00
   4638   -1.72935       0.18450  2.3894e-01  1.0000e+00  2.8341e-07  0.0000e+00
   4639   -1.72908       0.18455  2.3904e-01  1.0000e+00  2.8329e-07  0.0000e+00
   4640   -1.72881       0.18460  2.3914e-01  1.0000e+00  2.8317e-07  0.0000e+00
   4641   -1.72853       0.18465  2.3923e-01  1.0000e+00  2.8305e-07  0.0000e+00
   4642   -1.72826       0.18470  2.3933e-01  1.0000e+00  2.8293e-07  0.0000e+00
   4643   -1.72799       0.18475  2.3943e-01  1.0000e+00  2.8281e-07  0.0000e+00
   4644   -1.72771       0.18480  2.3953e-01  1.0000e+00  2.8269e-07  0.0000e+00
   4645   -1.72744       0.18485  2.3963e-01  1.0000e+00  2.8257e-07  0.0000e+00
   4646   -1.72717       0.18490  2.3972e-01  1.0000e+00  2.8245e-07  0.0000e+00
   4647   -1.72689       0.18495  2.3982e-01  1.0000e+00  2.8233e-07  0.0000e+00
   4648   -1.72662       0.18500  2.3992e-01  1.0000e+00  2.8221e-07  0.0000e+00
   4649   -1.72635       0.18505  2.4002e-01  1.0000e+00  2.8209e-07  0.0000e+00
   4650   -1.72608       0.18510  2.4012e-01  1.0000e+00  2.8197e-07  0.0000e+00
   4651   -1.72580       0.18515  2.4022e-01  1.0000e+00  2.8185e-07  0.0000e+00
   4652   -1.72553       0.18520  2.4031e-01  1.0000e+00  2.8173e-07  0.0000e+00
   4653   -1.72526       0.18525  2.4041e-01  1.0000e+00  2.8161e-07  0.0000e+00
   4654   -1.72498       0.18530  2.4051e-01  1.0000e+00  2.8148e-07  0.0000e+00
   4655   -1.72471       0.18535  2.4061e-01  1.0000e+00  2.8136e-07  0.0000e+00
   4656   -1.72444       0.18540  2.4071e-01  1.0000e+00  2.8124e-07  0.0000e+00
   4657   -1.72416       0.18545  2.4081e-01  1.0000e+00  2.8112e-07  0.0000e+00
   4658   -1.72389       0.18551  2.4091e-01  1.0000e+00  2.8100e-07  0.0000e+00
   4659   -1.72362       0.18556  2.4100e-01  1.0000e+00  2.8088e-07  0.0000e+00
   4660   -1.72334       0.18561  2.4110e-01  1.0000e+00  2.8077e-07  0.0000e+00
   4661   -1.72307       0.18566  2.4120e-01  1.0000e+00  2.8065e-07  0.0000e+00
   4662   -1.72280       0.18571  2.4130e-01  1.0000e+00  2.8053e-07  0.0000e+00
   4663   -1.72253       0.18576  2.4140e-01  1.0000e+00  2.8041e-07  0.0000e+00
   4664   -1.72225       0.18581  2.4150e-01  1.0000e+00  2.8029e-07  0.0000e+00
   4665   -1.72198       0.18586  2.4160e-01  1.0000e+00  2.8017e-07  0.0000e+00
   4666   -1.72171       0.18591  2.4170e-01  1.0000e+00  2.8005e-07  0.0000e+00
   4667   -1.72143       0.18596  2.4180e-01  1.0000e+00  2.7993e-07  0.0000e+00
   4668   -1.72116       0.18601  2.4189e-01  1.0000e+00  2.7981e-07  0.0000e+00
   4669   -1.72089       0.18606  2.4199e-01  1.0000e+00  2.7969e-07  0.0000e+00
   4670   -1.72061       0.18611  2.4209e-01  1.0000e+00  2.7957e-07  0.0000e+00
   4671   -1.72034       0.18617  2.4219e-01  1.0000e+00  2.7945e-07  0.0000e+00
   4672   -1.72007       0.18622  2.4229e-01  1.0000e+00  2.7933e-07  0.0000e+00
   4673   -1.71980       0.18627  2.4239e-01  1.0000e+00  2.7921e-07  0.0000e+00
   4674   -1.71952       0.18632  2.4249e-01  1.0000e+00  2.7909e-07  0.0000e+00
   4675   -1.71925       0.18637  2.4259e-01  1.0000e+00  2.7897e-07  0.0000e+00
   4676   -1.71898       0.18642  2.4269e-01  1.0000e+00  2.7886e-07  0.0000e+00
   4677   -1.71870       0.18647  2.4279e-01  1.0000e+00  2.7874e-07  0.0000e+00
   4678   -1.71843       0.18652  2.4289e-01  1.0000e+00  2.7862e-07  0.0000e+00
   4679   -1.71816       0.18657  2.4299e-01  1.0000e+00  2.7850e-07  0.0000e+00
   4680   -1.71788       0.18662  2.4309e-01  1.0000e+00  2.7838e-07  0.0000e+00
   4681   -1.71761       0.18667  2.4319e-01  1.0000e+00  2.7826e-07  0.0000e+00
   4682   -1.71734       0.18673  2.4329e-01  1.0000e+00  2.7814e-07  0.0000e+00
   4683   -1.71706       0.18678  2.4339e-01  1.0000e+00  2.7802e-07  0.0000e+00
   4684   -1.71679       0.18683  2.4348e-01  1.0000e+00  2.7791e-07  0.0000e+00
   4685   -1.71652       0.18688  2.4358e-01  1.0000e+00  2.7779e-07  0.0000e+00
   4686   -1.71625       0.18693  2.4368e-01  1.0000e+00  2.7767e-07  0.0000e+00
   4687   -1.71597       0.18698  2.4378e-01  1.0000e+00  2.7755e-07  0.0000e+00
   4688   -1.71570       0.18703  2.4388e-01  1.0000e+00  2.7743e-07  0.0000e+00
   4689   -1.71543       0.18708  2.4398e-01  1.0000e+00  2.7731e-07  0.0000e+00
   4690   -1.71515       0.18713  2.4408e-01  1.0000e+00  2.7720e-07  0.0000e+00
   4691   -1.71488       0.18718  2.4418e-01  1.0000e+00  2.7708e-07  0.0000e+00
   4692   -1.71461       0.18724  2.4428e-01  1.0000e+00  2.7696e-07  0.0000e+00
   4693   -1.71433       0.18729  2.4438e-01  1.0000e+00  2.7684e-07  0.0000e+00
   4694   -1.71406       0.18734  2.4448e-01  1.0000e+00  2.7672e-07  0.0000e+00
   4695   -1.71379       0.18739  2.4458e-01  1.0000e+00  2.7661e-07  0.0000e+00
   4696   -1.71352       0.18744  2.4468e-01  1.0000e+00  2.7649e-07  0.0000e+00
   4697   -1.71324       0.18749  2.4478e-01  1.0000e+00  2.7637e-07  0.0000e+00
   4698   -1.71297       0.18754  2.4489e-01  1.0000e+00  2.7625e-07  0.0000e+00
   4699   -1.71270       0.18759  2.4499e-01  1.0000e+00  2.7614e-07  0.0000e+00
   4700   -1.71242       0.18765  2.4509e-01  1.0000e+00  2.7602e-07  0.0000e+00
   4701   -1.71215       0.18770  2.4519e-01  1.0000e+00  2.7590e-07  0.0000e+00
   4702   -1.71188       0.18775  2.4529e-01  1.0000e+00  2.7578e-07  0.0000e+00
   4703   -1.71160       0.18780  2.4539e-01  1.0000e+00  2.7567e-07  0.0000e+00
   4704   -1.71133       0.18785  2.4549e-01  1.0000e+00  2.7555e-07  0.0000e+00
   4705   -1.71106       0.18790  2.4559e-01  1.0000e+00  2.7543e-07  0.0000e+00
   4706   -1.71078       0.18795  2.4569e-01  1.0000e+00  2.7531e-07  0.0000e+00
   4707   -1.71051       0.18800  2.4579e-01  1.0000e+00  2.7520e-07  0.0000e+00
   4708   -1.71024       0.18806  2.4589e-01  1.0000e+00  2.7508e-07  0.0000e+00
   4709   -1.70997       0.18811  2.4599e-01  1.0000e+00  2.7496e-07  0.0000e+00
   4710   -1.70969       0.18816  2.4609e-01  1.0000e+00  2.7485e-07  0.0000e+00
   4711   -1.70942       0.18821  2.4619e-01  1.0000e+00  2.7473e-07  0.0000e+00
   4712   -1.70915       0.18826  2.4629e-01  1.0000e+00  2.7461e-07  0.0000e+00
   4713   -1.70887       0.18831  2.4639e-01  1.0000e+00  2.7449e-07  0.0000e+00
   4714   -1.70860       0.18836  2.4650e-01  1.0000e+00  2.7438e-07  0.0000e+00
   4715   -1.70833       0.18842  2.4660e-01  1.0000e+00  2.7426e-07  0.0000e+00
   4716   -1.70805       0.18847  2.4670e-01  1.0000e+00  2.7414e-07  0.0000e+00
   4717   -1.70778       0.18852  2.4680e-01  1.0000e+00  2.7403e-07  0.0000e+00
   4718   -1.70751       0.18857  2.4690e-01  1.0000e+00  2.7391e-07  0.0000e+00
   4719   -1.70724       0.18862  2.4700e-01  1.0000e+00  2.7379e-07  0.0000e+00
   4720   -1.70696       0.18867  2.4710e-01  1.0000e+00  2.7368e-07  0.0000e+00
   4721   -1.70669       0.18872  2.4720e-01  1.0000e+00  2.7356e-07  0.0000e+00
   4722   -1.70642       0.18878  2.4730e-01  1.0000e+00  2.7344e-07  0.0000e+00
   4723   -1.70614       0.18883  2.4741e-01  1.0000e+00  2.7333e-07  0.0000e+00
   4724   -1.70587       0.18888  2.4751e-01  1.0000e+00  2.7321e-07  0.0000e+00
   4725   -1.70560       0.18893  2.4761e-01  1.0000e+00  2.7310e-07  0.0000e+00
   4726   -1.70532       0.18898  2.4771e-01  1.0000e+00  2.7298e-07  0.0000e+00
   4727   -1.70505       0.18903  2.4781e-01  1.0000e+00  2.7286e-07  0.0000e+00
   4728   -1.70478       0.18909  2.4791e-01  1.0000e+00  2.7275e-07  0.0000e+00
   4729   -1.70450       0.18914  2.4801e-01  1.0000e+00  2.7263e-07  0.0000e+00
   4730   -1.70423       0.18919  2.4812e-01  1.0000e+00  2.7252e-07  0.0000e+00
   4731   -1.70396       0.18924  2.4822e-01  1.0000e+00  2.7240e-07  0.0000e+00
   4732   -1.70369       0.18929  2.4832e-01  1.0000e+00  2.7228e-07  0.0000e+00
   4733   -1.70341       0.18934  2.4842e-01  1.0000e+00  2.7217e-07  0.0000e+00
   4734   -1.70314       0.18940  2.4852e-01  1.0000e+00  2.7205e-07  0.0000e+00
   4735   -1.70287       0.18945  2.4862e-01  1.0000e+00  2.7194e-07  0.0000e+00
   4736   -1.70259       0.18950  2.4873e-01  1.0000e+00  2.7182e-07  0.0000e+00
   4737   -1.70232       0.18955  2.4883e-01  1.0000e+00  2.7171e-07  0.0000e+00
   4738   -1.70205       0.18960  2.4893e-01  1.0000e+00  2.7159e-07  0.0000e+00
   4739   -1.70177       0.18965  2.4903e-01  1.0000e+00  2.7147e-07  0.0000e+00
   4740   -1.70150       0.18971  2.4913e-01  1.0000e+00  2.7136e-07  0.0000e+00
   4741   -1.70123       0.18976  2.4924e-01  1.0000e+00  2.7124e-07  0.0000e+00
   4742   -1.70096       0.18981  2.4934e-01  1.0000e+00  2.7113e-07  0.0000e+00
   4743   -1.70068       0.18986  2.4944e-01  1.0000e+00  2.7101e-07  0.0000e+00
   4744   -1.70041       0.18991  2.4954e-01  1.0000e+00  2.7090e-07  0.0000e+00
   4745   -1.70014       0.18996  2.4964e-01  1.0000e+00  2.7078e-07  0.0000e+00
   4746   -1.69986       0.19002  2.4975e-01  1.0000e+00  2.7067e-07  0.0000e+00
   4747   -1.69959       0.19007  2.4985e-01  1.0000e+00  2.7055e-07  0.0000e+00
   4748   -1.69932       0.19012  2.4995e-01  1.0000e+00  2.7044e-07  0.0000e+00
   4749   -1.69904       0.19017  2.5005e-01  1.0000e+00  2.7032e-07  0.0000e+00
   4750   -1.69877       0.19022  2.5016e-01  1.0000e+00  2.7021e-07  0.0000e+00
   4751   -1.69850       0.19028  2.5026e-01  1.0000e+00  2.7009e-07  0.0000e+00
   4752   -1.69822       0.19033  2.5036e-01  1.0000e+00  2.6998e-07  0.0000e+00
   4753   -1.69795       0.19038  2.5046e-01  1.0000e+00  2.6986e-07  0.0000e+00
   4754   -1.69768       0.19043  2.5057e-01  1.0000e+00  2.6975e-07  0.0000e+00
   4755   -1.69741       0.19048  2.5067e-01  1.0000e+00  2.6963e-07  0.0000e+00
   4756   -1.69713       0.19054  2.5077e-01  1.0000e+00  2.6952e-07  0.0000e+00
   4757   -1.69686       0.19059  2.5087e-01  1.0000e+00  2.6941e-07  0.0000e+00
   4758   -1.69659       0.19064  2.5098e-01  1.0000e+00  2.6929e-07  0.0000e+00
   4759   -1.69631       0.19069  2.5108e-01  1.0000e+00  2.6918e-07  0.0000e+00
   4760   -1.69604       0.19074  2.5118e-01  1.0000e+00  2.6906e-07  0.0000e+00
   4761   -1.69577       0.19080  2.5129e-01  1.0000e+00  2.6895e-07  0.0000e+00
   4762   -1.69549       0.19085  2.5139e-01  1.0000e+00  2.6883e-07  0.0000e+00
   4763   -1.69522       0.19090  2.5149e-01  1.0000e+00  2.6872e-07  0.0000e+00
   4764   -1.69495       0.19095  2.5159e-01  1.0000e+00  2.6861e-07  0.0000e+00
   4765   -1.69468       0.19101  2.5170e-01  1.0000e+00  2.6849e-07  0.0000e+00
   4766   -1.69440       0.19106  2.5180e-01  1.0000e+00  2.6838e-07  0.0000e+00
   4767   -1.69413       0.19111  2.5190e-01  1.0000e+00  2.6826e-07  0.0000e+00
   4768   -1.69386       0.19116  2.5201e-01  1.0000e+00  2.6815e-07  0.0000e+00
   4769   -1.69358       0.19121  2.5211e-01  1.0000e+00  2.6804e-07  0.0000e+00
   4770   -1.69331       0.19127  2.5221e-01  1.0000e+00  2.6792e-07  0.0000e+00
   4771   -1.69304       0.19132  2.5232e-01  1.0000e+00  2.6781e-07  0.0000e+00
   4772   -1.69276       0.19137  2.5242e-01  1.0000e+00  2.6769e-07  0.0000e+00
   4773   -1.69249       0.19142  2.5252e-01  1.0000e+00  2.6758e-07  0.0000e+00
   4774   -1.69222       0.19148  2.5263e-01  1.0000e+00  2.6747e-07  0.0000e+00
   4775   -1.69194       0.19153  2.5273e-01  1.0000e+00  2.6735e-07  0.0000e+00
   4776   -1.69167       0.19158  2.5283e-01  1.0000e+00  2.6724e-07  0.0000e+00
   4777   -1.69140       0.19163  2.5294e-01  1.0000e+00  2.6713e-07  0.0000e+00
   4778   -1.69113       0.19168  2.5304e-01  1.0000e+00  2.6701e-07  0.0000e+00
   4779   -1.69085       0.19174  2.5315e-01  1.0000e+00  2.6690e-07  0.0000e+00
   4780   -1.69058       0.19179  2.5325e-01  1.0000e+00  2.6679e-07  0.0000e+00
   4781   -1.69031       0.19184  2.5335e-01  1.0000e+00  2.6667e-07  0.0000e+00
   4782   -1.69003       0.19189  2.5346e-01  1.0000e+00  2.6656e-07  0.0000e+00
   4783   -1.68976       0.19195  2.5356e-01  1.0000e+00  2.6645e-07  0.0000e+00
   4784   -1.68949       0.19200  2.5366e-01  1.0000e+00  2.6633e-07  0.0000e+00
   4785   -1.68921       0.19205  2.5377e-01  1.0000e+00  2.6622e-07  0.0000e+00
   4786   -1.68894       0.19210  2.5387e-01  1.0000e+00  2.6611e-07  0.0000e+00
   4787   -1.68867       0.19216  2.5398e-01  1.0000e+00  2.6600e-07  0.0000e+00
   4788   -1.68840       0.19221  2.5408e-01  1.0000e+00  2.6588e-07  0.0000e+00
   4789   -1.68812       0.19226  2.5418e-01  1.0000e+00  2.6577e-07  0.0000e+00
   4790   -1.68785       0.19231  2.5429e-01  1.0000e+00  2.6566e-07  0.0000e+00
   4791   -1.68758       0.19237  2.5439e-01  1.0000e+00  2.6554e-07  0.0000e+00
   4792   -1.68730       0.19242  2.5450e-01  1.0000e+00  2.6543e-07  0.0000e+00
   4793   -1.68703       0.19247  2.5460e-01  1.0000e+00  2.6532e-07  0.0000e+00
   4794   -1.68676       0.19252  2.5471e-01  1.0000e+00  2.6521e-07  0.0000e+00
   4795   -1.68648       0.19258  2.5481e-01  1.0000e+00  2.6509e-07  0.0000e+00
   4796   -1.68621       0.19263  2.5491e-01  1.0000e+00  2.6498e-07  0.0000e+00
   4797   -1.68594       0.19268  2.5502e-01  1.0000e+00  2.6487e-07  0.0000e+00
   4798   -1.68566       0.19273  2.5512e-01  1.0000e+00  2.6476e-07  0.0000e+00
   4799   -1.68539       0.19279  2.5523e-01  1.0000e+00  2.6464e-07  0.0000e+00
   4800   -1.68512       0.19284  2.5533e-01  1.0000e+00  2.6453e-07  0.0000e+00
   4801   -1.68485       0.19289  2.5544e-01  1.0000e+00  2.6442e-07  0.0000e+00
   4802   -1.68457       0.19294  2.5554e-01  1.0000e+00  2.6431e-07  0.0000e+00
   4803   -1.68430       0.19300  2.5565e-01  1.0000e+00  2.6420e-07  0.0000e+00
   4804   -1.68403       0.19305  2.5575e-01  1.0000e+00  2.6408e-07  0.0000e+00
   4805   -1.68375       0.19310  2.5586e-01  1.0000e+00  2.6397e-07  0.0000e+00
   4806   -1.68348       0.19316  2.5596e-01  1.0000e+00  2.6386e-07  0.0000e+00
   4807   -1.68321       0.19321  2.5607e-01  1.0000e+00  2.6375e-07  0.0000e+00
   4808   -1.68293       0.19326  2.5617e-01  1.0000e+00  2.6364e-07  0.0000e+00
   4809   -1.68266       0.19331  2.5627e-01  1.0000e+00  2.6352e-07  0.0000e+00
   4810   -1.68239       0.19337  2.5638e-01  1.0000e+00  2.6341e-07  0.0000e+00
   4811   -1.68212       0.19342  2.5648e-01  1.0000e+00  2.6330e-07  0.0000e+00
   4812   -1.68184       0.19347  2.5659e-01  1.0000e+00  2.6319e-07  0.0000e+00
   4813   -1.68157       0.19353  2.5670e-01  1.0000e+00  2.6308e-07  0.0000e+00
   4814   -1.68130       0.19358  2.5680e-01  1.0000e+00  2.6297e-07  0.0000e+00
   4815   -1.68102       0.19363  2.5691e-01  1.0000e+00  2.6286e-07  0.0000e+00
   4816   -1.68075       0.19368  2.5701e-01  1.0000e+00  2.6274e-07  0.0000e+00
   4817   -1.68048       0.19374  2.5712e-01  1.0000e+00  2.6263e-07  0.0000e+00
   4818   -1.68020       0.19379  2.5722e-01  1.0000e+00  2.6252e-07  0.0000e+00
   4819   -1.67993       0.19384  2.5733e-01  1.0000e+00  2.6241e-07  0.0000e+00
   4820   -1.67966       0.19390  2.5743e-01  1.0000e+00  2.6230e-07  0.0000e+00
   4821   -1.67938       0.19395  2.5754e-01  1.0000e+00  2.6219e-07  0.0000e+00
   4822   -1.67911       0.19400  2.5764e-01  1.0000e+00  2.6208e-07  0.0000e+00
   4823   -1.67884       0.19405  2.5775e-01  1.0000e+00  2.6197e-07  0.0000e+00
   4824   -1.67857       0.19411  2.5785e-01  1.0000e+00  2.6185e-07  0.0000e+00
   4825   -1.67829       0.19416  2.5796e-01  1.0000e+00  2.6174e-07  0.0000e+00
   4826   -1.67802       0.19421  2.5807e-01  1.0000e+00  2.6163e-07  0.0000e+00
   4827   -1.67775       0.19427  2.5817e-01  1.0000e+00  2.6152e-07  0.0000e+00
   4828   -1.67747       0.19432  2.5828e-01  1.0000e+00  2.6141e-07  0.0000e+00
   4829   -1.67720       0.19437  2.5838e-01  1.0000e+00  2.6130e-07  0.0000e+00
   4830   -1.67693       0.19443  2.5849e-01  1.0000e+00  2.6119e-07  0.0000e+00
   4831   -1.67665       0.19448  2.5859e-01  1.0000e+00  2.6108e-07  0.0000e+00
   4832   -1.67638       0.19453  2.5870e-01  1.0000e+00  2.6097e-07  0.0000e+00
   4833   -1.67611       0.19458  2.5881e-01  1.0000e+00  2.6086e-07  0.0000e+00
   4834   -1.67584       0.19464  2.5891e-01  1.0000e+00  2.6075e-07  0.0000e+00
   4835   -1.67556       0.19469  2.5902e-01  1.0000e+00  2.6064e-07  0.0000e+00
   4836   -1.67529       0.19474  2.5912e-01  1.0000e+00  2.6053e-07  0.0000e+00
   4837   -1.67502       0.19480  2.5923e-01  1.0000e+00  2.6042e-07  0.0000e+00
   4838   -1.67474       0.19485  2.5934e-01  1.0000e+00  2.6031e-07  0.0000e+00
   4839   -1.67447       0.19490  2.5944e-01  1.0000e+00  2.6020e-07  0.0000e+00
   4840   -1.67420       0.19496  2.5955e-01  1.0000e+00  2.6009e-07  0.0000e+00
   4841   -1.67392       0.19501  2.5966e-01  1.0000e+00  2.5998e-07  0.0000e+00
   4842   -1.67365       0.19506  2.5976e-01  1.0000e+00  2.5987e-07  0.0000e+00
   4843   -1.67338       0.19512  2.5987e-01  1.0000e+00  2.5976e-07  0.0000e+00
   4844   -1.67310       0.19517  2.5998e-01  1.0000e+00  2.5965e-07  0.0000e+00
   4845   -1.67283       0.19522  2.6008e-01  1.0000e+00  2.5954e-07  0.0000e+00
   4846   -1.67256       0.19528  2.6019e-01  1.0000e+00  2.5943e-07  0.0000e+00
   4847   -1.67229       0.19533  2.6029e-01  1.0000e+00  2.5932e-07  0.0000e+00
   4848   -1.67201       0.19538  2.6040e-01  1.0000e+00  2.5921e-07  0.0000e+00
   4849   -1.67174       0.19544  2.6051e-01  1.0000e+00  2.5910e-07  0.0000e+00
   4850   -1.67147       0.19549  2.6061e-01  1.0000e+00  2.5899e-07  0.0000e+00
   4851   -1.67119       0.19554  2.6072e-01  1.0000e+00  2.5888e-07  0.0000e+00
   4852   -1.67092       0.19560  2.6083e-01  1.0000e+00  2.5877e-07  0.0000e+00
   4853   -1.67065       0.19565  2.6094e-01  1.0000e+00  2.5866e-07  0.0000e+00
   4854   -1.67037       0.19570  2.6104e-01  1.0000e+00  2.5855e-07  0.0000e+00
   4855   -1.67010       0.19576  2.6115e-01  1.0000e+00  2.5844e-07  0.0000e+00
   4856   -1.66983       0.19581  2.6126e-01  1.0000e+00  2.5833e-07  0.0000e+00
   4857   -1.66956       0.19586  2.6136e-01  1.0000e+00  2.5822e-07  0.0000e+00
   4858   -1.66928       0.19592  2.6147e-01  1.0000e+00  2.5811e-07  0.0000e+00
   4859   -1.66901       0.19597  2.6158e-01  1.0000e+00  2.5800e-07  0.0000e+00
   4860   -1.66874       0.19602  2.6168e-01  1.0000e+00  2.5789e-07  0.0000e+00
   4861   -1.66846       0.19608  2.6179e-01  1.0000e+00  2.5779e-07  0.0000e+00
   4862   -1.66819       0.19613  2.6190e-01  1.0000e+00  2.5768e-07  0.0000e+00
   4863   -1.66792       0.19619  2.6201e-01  1.0000e+00  2.5757e-07  0.0000e+00
   4864   -1.66764       0.19624  2.6211e-01  1.0000e+00  2.5746e-07  0.0000e+00
   4865   -1.66737       0.19629  2.6222e-01  1.0000e+00  2.5735e-07  0.0000e+00
   4866   -1.66710       0.19635  2.6233e-01  1.0000e+00  2.5724e-07  0.0000e+00
   4867   -1.66682       0.19640  2.6244e-01  1.0000e+00  2.5713e-07  0.0000e+00
   4868   -1.66655       0.19645  2.6254e-01  1.0000e+00  2.5702e-07  0.0000e+00
   4869   -1.66628       0.19651  2.6265e-01  1.0000e+00  2.5691e-07  0.0000e+00
   4870   -1.66601       0.19656  2.6276e-01  1.0000e+00  2.5681e-07  0.0000e+00
   4871   -1.66573       0.19661  2.6287e-01  1.0000e+00  2.5670e-07  0.0000e+00
   4872   -1.66546       0.19667  2.6297e-01  1.0000e+00  2.5659e-07  0.0000e+00
   4873   -1.66519       0.19672  2.6308e-01  1.0000e+00  2.5648e-07  0.0000e+00
   4874   -1.66491       0.19678  2.6319e-01  1.0000e+00  2.5637e-07  0.0000e+00
   4875   -1.66464       0.19683  2.6330e-01  1.0000e+00  2.5626e-07  0.0000e+00
   4876   -1.66437       0.19688  2.6340e-01  1.0000e+00  2.5616e-07  0.0000e+00
   4877   -1.66409       0.19694  2.6351e-01  1.0000e+00  2.5605e-07  0.0000e+00
   4878   -1.66382       0.19699  2.6362e-01  1.0000e+00  2.5594e-07  0.0000e+00
   4879   -1.66355       0.19704  2.6373e-01  1.0000e+00  2.5583e-07  0.0000e+00
   4880   -1.66328       0.19710  2.6384e-01  1.0000e+00  2.5572e-07  0.0000e+00
   4881   -1.66300       0.19715  2.6394e-01  1.0000e+00  2.5561e-07  0.0000e+00
   4882   -1.66273       0.19721  2.6405e-01  1.0000e+00  2.5551e-07  0.0000e+00
   4883   -1.66246       0.19726  2.6416e-01  1.0000e+00  2.5540e-07  0.0000e+00
   4884   -1.66218       0.19731  2.6427e-01  1.0000e+00  2.5529e-07  0.0000e+00
   4885   -1.66191       0.19737  2.6438e-01  1.0000e+00  2.5518e-07  0.0000e+00
   4886   -1.66164       0.19742  2.6449e-01  1.0000e+00  2.5508e-07  0.0000e+00
   4887   -1.66136       0.19748  2.6459e-01  1.0000e+00  2.5497e-07  0.0000e+00
   4888   -1.66109       0.19753  2.6470e-01  1.0000e+00  2.5486e-07  0.0000e+00
   4889   -1.66082       0.19758  2.6481e-01  1.0000e+00  2.5475e-07  0.0000e+00
   4890   -1.66054       0.19764  2.6492e-01  1.0000e+00  2.5464e-07  0.0000e+00
   4891   -1.66027       0.19769  2.6503e-01  1.0000e+00  2.5454e-07  0.0000e+00
   4892   -1.66000       0.19774  2.6514e-01  1.0000e+00  2.5443e-07  0.0000e+00
   4893   -1.65973       0.19780  2.6525e-01  1.0000e+00  2.5432e-07  0.0000e+00
   4894   -1.65945       0.19785  2.6535e-01  1.0000e+00  2.5421e-07  0.0000e+00
   4895   -1.65918       0.19791  2.6546e-01  1.0000e+00  2.5411e-07  0.0000e+00
   4896   -1.65891       0.19796  2.6557e-01  1.0000e+00  2.5400e-07  0.0000e+00
   4897   -1.65863       0.19801  2.6568e-01  1.0000e+00  2.5389e-07  0.0000e+00
   4898   -1.65836       0.19807  2.6579e-01  1.0000e+00  2.5379e-07  0.0000e+00
   4899   -1.65809       0.19812  2.6590e-01  1.0000e+00  2.5368e-07  0.0000e+00
   4900   -1.65781       0.19818  2.6601e-01  1.0000e+00  2.5357e-07  0.0000e+00
   4901   -1.65754       0.19823  2.6612e-01  1.0000e+00  2.5346e-07  0.0000e+00
   4902   -1.65727       0.19829  2.6622e-01  1.0000e+00  2.5336e-07  0.0000e+00
   4903   -1.65700       0.19834  2.6633e-01  1.0000e+00  2.5325e-07  0.0000e+00
   4904   -1.65672       0.19839  2.6644e-01  1.0000e+00  2.5314e-07  0.0000e+00
   4905   -1.65645       0.19845  2.6655e-01  1.0000e+00  2.5304e-07  0.0000e+00
   4906   -1.65618       0.19850  2.6666e-01  1.0000e+00  2.5293e-07  0.0000e+00
   4907   -1.65590       0.19856  2.6677e-01  1.0000e+00  2.5282e-07  0.0000e+00
   4908   -1.65563       0.19861  2.6688e-01  1.0000e+00  2.5272e-07  0.0000e+00
   4909   -1.65536       0.19866  2.6699e-01  1.0000e+00  2.5261e-07  0.0000e+00
   4910   -1.65508       0.19872  2.6710e-01  1.0000e+00  2.5250e-07  0.0000e+00
   4911   -1.65481       0.19877  2.6721e-01  1.0000e+00  2.5240e-07  0.0000e+00
   4912   -1.65454       0.19883  2.6732e-01  1.0000e+00  2.5229e-07  0.0000e+00
   4913   -1.65426       0.19888  2.6743e-01  1.0000e+00  2.5218e-07  0.0000e+00
   4914   -1.65399       0.19894  2.6754e-01  1.0000e+00  2.5208e-07  0.0000e+00
   4915   -1.65372       0.19899  2.6765e-01  1.0000e+00  2.5197e-07  0.0000e+00
   4916   -1.65345       0.19904  2.6776e-01  1.0000e+00  2.5186e-07  0.0000e+00
   4917   -1.65317       0.19910  2.6787e-01  1.0000e+00  2.5176e-07  0.0000e+00
