     i        y          a (AU)     P (y)    Mplan (M_E)     Pcol        Pejc   
     69   -2.97689       0.05299  3.6778e-02  1.0000e+00  2.3684e-06  0.0000e+00
     70   -2.97662       0.05300  3.6793e-02  1.0000e+00  2.3672e-06  0.0000e+00
     71   -2.97635       0.05302  3.6808e-02  1.0000e+00  2.3660e-06  0.0000e+00
     72   -2.97607       0.05303  3.6823e-02  1.0000e+00  2.3649e-06  0.0000e+00
     73   -2.97580       0.05305  3.6838e-02  1.0000e+00  2.3637e-06  0.0000e+00
     74   -2.97553       0.05306  3.6854e-02  1.0000e+00  2.3625e-06  0.0000e+00
     75   -2.97525       0.05308  3.6869e-02  1.0000e+00  2.3613e-06  0.0000e+00
     76   -2.97498       0.05309  3.6884e-02  1.0000e+00  2.3602e-06  0.0000e+00
     77   -2.97471       0.05310  3.6899e-02  1.0000e+00  2.3590e-06  0.0000e+00
     78   -2.97443       0.05312  3.6914e-02  1.0000e+00  2.3578e-06  0.0000e+00
     79   -2.97416       0.05313  3.6929e-02  1.0000e+00  2.3567e-06  0.0000e+00
     80   -2.97389       0.05315  3.6944e-02  1.0000e+00  2.3555e-06  0.0000e+00
     81   -2.97362       0.05316  3.6959e-02  1.0000e+00  2.3543e-06  0.0000e+00
     82   -2.97334       0.05318  3.6975e-02  1.0000e+00  2.3532e-06  0.0000e+00
     83   -2.97307       0.05319  3.6990e-02  1.0000e+00  2.3520e-06  0.0000e+00
     84   -2.97280       0.05321  3.7005e-02  1.0000e+00  2.3508e-06  0.0000e+00
     85   -2.97252       0.05322  3.7020e-02  1.0000e+00  2.3497e-06  0.0000e+00
     86   -2.97225       0.05324  3.7035e-02  1.0000e+00  2.3485e-06  0.0000e+00
     87   -2.97198       0.05325  3.7050e-02  1.0000e+00  2.3473e-06  0.0000e+00
     88   -2.97170       0.05326  3.7065e-02  1.0000e+00  2.3462e-06  0.0000e+00
     89   -2.97143       0.05328  3.7081e-02  1.0000e+00  2.3450e-06  0.0000e+00
     90   -2.97116       0.05329  3.7096e-02  1.0000e+00  2.3438e-06  0.0000e+00
     91   -2.97089       0.05331  3.7111e-02  1.0000e+00  2.3427e-06  0.0000e+00
     92   -2.97061       0.05332  3.7126e-02  1.0000e+00  2.3415e-06  0.0000e+00
     93   -2.97034       0.05334  3.7141e-02  1.0000e+00  2.3403e-06  0.0000e+00
     94   -2.97007       0.05335  3.7157e-02  1.0000e+00  2.3392e-06  0.0000e+00
     95   -2.96979       0.05337  3.7172e-02  1.0000e+00  2.3380e-06  0.0000e+00
     96   -2.96952       0.05338  3.7187e-02  1.0000e+00  2.3369e-06  0.0000e+00
     97   -2.96925       0.05340  3.7202e-02  1.0000e+00  2.3357e-06  0.0000e+00
     98   -2.96897       0.05341  3.7218e-02  1.0000e+00  2.3345e-06  0.0000e+00
     99   -2.96870       0.05342  3.7233e-02  1.0000e+00  2.3334e-06  0.0000e+00
    100   -2.96843       0.05344  3.7248e-02  1.0000e+00  2.3322e-06  0.0000e+00
    101   -2.96815       0.05345  3.7263e-02  1.0000e+00  2.3311e-06  0.0000e+00
    102   -2.96788       0.05347  3.7279e-02  1.0000e+00  2.3299e-06  0.0000e+00
    103   -2.96761       0.05348  3.7294e-02  1.0000e+00  2.3288e-06  0.0000e+00
    104   -2.96734       0.05350  3.7309e-02  1.0000e+00  2.3276e-06  0.0000e+00
    105   -2.96706       0.05351  3.7324e-02  1.0000e+00  2.3264e-06  0.0000e+00
